sep=;
;;;;;;
;bike to work – Challenge 2026;;;;;
;Testprotokoll (ca. 1 Stunde);;;;;
;;;;;;
;Tester:;;Datum:;;;
;Version:;;Gerät/Browser:;;;
;;;;;;
;;;;;;
ID;Bereich;Testfall;Schritte;Erwartetes Ergebnis;OK;Bemerkung
;;;;;;
;;TOP TEN – GRUNDFUNKTIONEN;(15 min);;;;
;;;;;;
01;Top Ten;Seite lädt korrekt;stats.biketowork.ch öffnen;Titel, Beschreibung und Ranking mit 10 Betrieben sichtbar;☐;
02;Top Ten;Alle 5 Metriken;Tabs durchklicken: Beteiligung → Teams → Distanz → km pro MA → Betriebsgrösse;Ranking sortiert sich um, Einheiten wechseln, Balkenfarben: 1=Pink 2=Türkis 3=Lemon;☐;
03;Top Ten;Grössen-Filter;Alle 6 Kategorien-Pills durchklicken;Betriebe werden korrekt gefiltert, Anzahl ändert sich;☐;
04;Top Ten;Suche: Betrieb finden;«SBB» eingeben → aus Dropdown auswählen;SBB hervorgehoben (schwarzer Balken), Rang wird angezeigt;☐;
05;Top Ten;Suche: Kein Ergebnis;«xyz123» eingeben;Meldung «Kein Betrieb gefunden»;☐;
06;Top Ten;Suche löschen;X-Button im Suchfeld klicken;Suchfeld leer, normales Ranking kehrt zurück;☐;
07;Top Ten;Tooltip langer Name;Maus über «Kantonale Verwaltung Aarg…» halten;Schwarzer Tooltip zeigt vollen Namen komplett an;☐;
08;Top Ten;Mehr laden;«Mehr laden» Button klicken;10 weitere Betriebe erscheinen;☐;
09;Top Ten;Distanz-Feature;SBB suchen → Tab «Distanz» wählen;Distanz-Karte mit km total, Zielort und Weltkugel-Berechnung;☐;
10;Top Ten;Keine Daten;Sanity: alle Betriebe unpublishen → Seite neu laden;Meldung «Keine Statistiken verfügbar»;☐;
;;;;;;
;;FACTS & FIGURES;(5 min);;;;
;;;;;;
11;Facts;Seite lädt korrekt;/facts-and-figures öffnen;Alle 5 Sektionen sichtbar;☐;
12;Facts;Balkendiagramme;Teilnehmende und Betriebe prüfen;Balken nach Jahr sortiert (aufsteigend), Zahlen: 1'234;☐;
13;Facts;Erdumrundungen;Grosse Zahl und Icon prüfen;Berechnung korrekt (Gesamt-km ÷ 40'075), Weltkugel-Icon;☐;
14;Facts;CO₂-Einsparung;Grosse Zahl und Icon prüfen;Flüge-Berechnung korrekt, Freiheitsstatue-Icon;☐;
15;Facts;Tortendiagramm;Teilnahmedauer-Sektion prüfen;Farbige Kuchenstücke mit %, Legende mit Farben und Zahlen;☐;
;;;;;;
;;MAPS;(5 min);;;;
;;;;;;
16;Maps;Seite lädt korrekt;/maps öffnen;Mindestens eine Karte sichtbar;☐;
17;Maps;Betriebe-Karte;Punkte und Cluster prüfen;Verschiedene Punkt-Grössen je nach MA, Cluster beim Rauszoomen;☐;
18;Maps;Popup;Auf einen Betrieb-Punkt klicken;Popup mit Betriebsname, Ort und Anzahl MA;☐;
19;Maps;Gemeinde-Karte;Einfärbung und Hover testen;Gemeinden farbig nach Beteiligung %, Tooltip beim Hover;☐;
20;Maps;Kanton-Karte;Einfärbung und Hover testen;Kantone farbig, Tooltip mit Kantonsname und Beteiligung %;☐;
;;;;;;
;;4 SPRACHEN;(10 min);;;;
;;;;;;
21;Sprachen;Deutsch;Startseite laden;Alle Texte Deutsch, URL ohne Sprachpräfix;☐;
22;Sprachen;Französisch;Sprache auf FR wechseln;Alle Texte Französisch, URL beginnt mit /fr/;☐;
23;Sprachen;Italienisch;Sprache auf IT wechseln;Alle Texte Italienisch, URL beginnt mit /it/;☐;
24;Sprachen;Englisch;Sprache auf EN wechseln;Alle Texte Englisch, URL beginnt mit /en/;☐;
25;Sprachen;Sprachwechsel behält Seite;Auf Maps-Seite → Sprache wechseln;Bleibt auf Maps in neuer Sprache;☐;
26;Sprachen;Navigation-Labels;Auf jeder Sprache Navigation prüfen;Nav-Links in korrekter Sprache;☐;
27;Sprachen;Footer-Texte;Footer auf jeder Sprache prüfen;Menü, AGB, Datenschutz in korrekter Sprache;☐;
;;;;;;
;;NAVIGATION & FOOTER;(5 min);;;;
;;;;;;
28;Navigation;Logo-Link;Auf Logo klicken;Öffnet konfigurierte URL;☐;
29;Navigation;Aktive Seite;Zwischen Seiten navigieren;Aktiver Button hat schwarzen Hintergrund;☐;
30;Navigation;Favicon;Browser-Tab prüfen;Favicon aus Sanity wird angezeigt;☐;
31;Footer;Menü-Links;Über uns, Partner, Kontakt anklicken;Links funktionieren, korrekte URLs;☐;
32;Footer;Social-Icons;Facebook, Instagram, LinkedIn prüfen;Icons sichtbar, öffnen in neuem Tab;☐;
33;Footer;Copyright;Schwarze Leiste unten prüfen;«© 2026 bike to work», AGB- und Datenschutz-Links;☐;
;;;;;;
;;RESPONSIVE;(10 min);;;;
;;;;;;
34;Responsive;Mobile: Top Ten;Browser auf 375px Breite;Hamburger-Menü, Tabs vertikal, Betriebsnamen vollständig (kein …);☐;
35;Responsive;Mobile: Facts;Browser auf 375px Breite;Balken horizontal, Tortendiagramm passt;☐;
36;Responsive;Mobile: Maps;Browser auf 375px Breite;Karten volle Breite, kein horizontaler Overflow;☐;
37;Responsive;Mobile: Hamburger;Hamburger-Icon klicken → Link klicken;Menü öffnet/schliesst korrekt, Animation (3 Striche → X);☐;
38;Responsive;Desktop: Vollbild;Browser auf 1440px Breite;Grosszügige Abstände, max-width eingehalten;☐;
;;;;;;
;;SEO & SICHERHEIT;(5 min);;;;
;;;;;;
39;SEO;robots.txt;/robots.txt im Browser aufrufen;Erlaubt alles ausser /studio/, Sitemap-Link vorhanden;☐;
40;SEO;Sitemap;/sitemap.xml im Browser aufrufen;Alle Seiten in 4 Sprachen mit hreflang-Alternates;☐;
41;Sicherheit;Security Headers;DevTools → Network → beliebige Seite → Response Headers;HSTS, X-Frame-Options: DENY, X-Content-Type-Options: nosniff;☐;
42;Sicherheit;404-Seite;/gibts-nicht aufrufen;Markenkonformes Design mit «Zurück zur Startseite» Link;☐;
;;;;;;
;;CMS-STEUERUNG;(5 min);;;;
;;;;;;
43;CMS;Text ändern;Sanity: einen Seitentext ändern → publishen → Seite laden;Geänderter Text erscheint auf der Website;☐;
44;CMS;Seite deaktivieren;Sanity: Maps «published» = false → Seite laden;Maps verschwindet aus Navigation, zeigt «Nicht verfügbar»;☐;
45;CMS;Sprache deaktivieren;Sanity: EN «aktiv» = false → Seite laden;EN verschwindet aus dem Sprachmenü;☐;
;;;;;;
;;;;;;
;;ERGEBNIS;;;;;
;;;;;;
;Total Tests:;45;;;;
;Bestanden:;;;;;
;Fehlgeschlagen:;;;;;
;Blockiert:;;;;;
;;;;;;
;Gesamturteil:;☐ BEREIT FÜR GO-LIVE   ☐ NACHBESSERUNG NÖTIG;;;;
;;;;;;
;Unterschrift Tester:;;;;;
